CustomerID,Recency,Frequency,Monetary,Customer_Segment
14646.0,1,74,280206.02,VIP
18102.0,0,60,259657.3,VIP
17450.0,8,46,194550.79,VIP
16446.0,0,2,168472.5,Regular
14911.0,1,201,143825.06,VIP
12415.0,24,21,124914.53,VIP
14156.0,9,55,117379.63,VIP
17511.0,2,31,91062.38,VIP
16029.0,38,63,81024.84,Regular
12346.0,325,1,77183.6,Lost (One-Time Buyer)
16684.0,4,28,66653.56,VIP
14096.0,4,17,65164.79,VIP
13694.0,3,50,65039.62,VIP
15311.0,0,91,60767.9,VIP
13089.0,2,97,58825.83,VIP
17949.0,1,45,58510.48,VIP
15769.0,7,26,56252.72,VIP
15061.0,3,48,54534.14,VIP
14298.0,8,44,51527.3,VIP
14088.0,10,13,50491.81,VIP
15749.0,235,3,44534.3,At Risk (Previous Frequent Buyer)
12931.0,21,15,42055.96,VIP
17841.0,1,124,40991.57,VIP
15098.0,182,3,39916.5,At Risk (Previous Frequent Buyer)
13798.0,1,57,37153.85,VIP
16013.0,3,47,37130.6,VIP
16422.0,17,51,34684.4,VIP
12748.0,0,210,33719.73,VIP
15838.0,11,19,33643.08,VIP
17404.0,4,15,31906.82,VIP
17389.0,0,34,31833.68,VIP
13098.0,1,28,28882.44,VIP
14680.0,25,16,28754.11,VIP
13081.0,11,11,28337.38,VIP
13408.0,1,62,28117.04,VIP
17857.0,4,23,26879.04,VIP
16333.0,7,22,26626.8,VIP
13777.0,0,33,25977.16,VIP
12753.0,22,6,21429.39,VIP
12744.0,51,7,21279.29,Regular
16210.0,1,18,21086.3,VIP
17675.0,1,31,20374.28,VIP
17381.0,8,29,20275.61,VIP
15039.0,9,47,19914.44,VIP
12471.0,2,30,19824.05,VIP
12731.0,23,12,18895.91,VIP
15159.0,1,30,18641.01,VIP
12901.0,8,28,17654.54,VIP
12678.0,42,12,17628.46,Regular
14031.0,7,19,17286.86,VIP
17428.0,0,28,17256.85,VIP
13767.0,2,37,17220.36,VIP
13881.0,3,20,17159.52,VIP
16839.0,8,34,16594.35,VIP
12921.0,9,37,16587.09,VIP
14607.0,15,14,16569.5,VIP
15856.0,4,27,16387.57,VIP
17677.0,1,30,16363.23,VIP
15189.0,1,41,16225.39,VIP
14051.0,0,23,15610.39,VIP
15513.0,33,19,14758.22,Regular
16133.0,3,33,14589.04,VIP
14866.0,10,12,14389.9,VIP
16705.0,0,20,14034.99,VIP
12681.0,14,22,13787.54,VIP
12621.0,1,20,13689.67,VIP
12540.0,19,17,13400.24,VIP
12433.0,0,7,13375.87,VIP
15498.0,2,27,13316.4,VIP
12477.0,22,6,13219.74,VIP
17735.0,2,19,13110.02,VIP
16525.0,2,26,13027.45,VIP
